Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"lead data scientist
leading data science firm",leading data science firm,"['chennai', ' mumbai', ' bengaluru', ' hyderabad']",7 - 12 years,"['key skills', 'data sciencerpython', 'team managementprocess documentationalgorithmsartificial intelligencescripting languagesmachine learningcustomer engagement', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization']"
"sr. data scientist
globussoft",globussoft,['bengaluru( 5th block koramangala )'],5 - 7 years,"['key skills', 'predictive modelingazureaineural networksbig datadata miningmachine learningrevenue generationgoogle cloudnlpcloud computingalgorithmsnosqldata scientistthird partyawspython']","₹ 8,00,000 - 10,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"principal data scientist - machine/deep learning - nlp/tensorflow
fidius advisory",fidius advisory,['bengaluru'],8 - 13 years,"['key skills', 'tensorflownlppytorchdata scienceproduct managementdesigndeep learning']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :ms/m.sc(science) in computers, m.tech in computers']"
"data scientist - image processing/machine learning
carbynetech india3.1(7 reviews)",carbynetech india3.1(7 reviews),['hyderabad'],6 - 11 years,"['key skills', 'predictive modelingdata sciencedata scientisttime series analysisimage processingdata managementmachine learningpredictive analytics']",not disclosed,"['education', 'ug :b.a in economics, statistics, maths, b.tech/b.e. in computers, b.sc in maths, computers, statistics, bca in computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist - machine learning/statistical modeling
lericon informatics pvt. ltd.",lericon informatics pvt. ltd.,['delhi/ncr delhi ncr'],5 - 8 years,"['key skills', 'data scienceazuredata scientistdata architectdata managementstatistical modelingmachine learningpythonsql']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :mca in computers', 'doctorate :doctorate not required']"
"sr professional - data scientist / analytics
sutherland global services inc",sutherland global services inc,['hyderabad'],3 - 8 years,"['key skills', 'data analysishealthcareopen sourceforecastingservice qualityanalyticssqlpythonrecruitmenthbase']",not disclosed,"['education', 'ug :any graduate in any specialization, b.tech/b.e. in production/industrial', 'pg :mca in computers']"
"data scientist
verizon data services india pvt.ltd3.6(561 reviews)",verizon data services india pvt.ltd3.6(561 reviews),['bengaluru'],5 - 10 years,"['key skills', 'computer sciencenetworkingmachine learningscalacustomer supportdata visualizationbig datasqlpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"immediate hiring for principal data scientist - bangalore
randstad india pvt ltd3.9(872 reviews)",randstad india pvt ltd3.9(872 reviews),['bengaluru'],8 - 12 years,"['key skills', 'data sciencernlpnosqlartificial intelligencemachine learningnumpypythonsql']",not disclosed,"['education', 'ug :any graduate in any specialization']"
"senior data scientist
infoblox4.0(15 reviews)",infoblox4.0(15 reviews),['bengaluru'],4 - 9 years,"['key skills', 'computer sciencedata analysisdata sciencemachine learningscaladnsnetwork securitydata miningbig datapython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"senior data scientist
tvs credit services limited4.2(664 reviews)",tvs credit services limited4.2(664 reviews),['chennai'],3 - 8 years,"['key skills', 'predictive modelinghadoopdata transformation servicesdata acquisitionsqlrnosqlmachine learningadvanced analyticsdata analysisdata visualizationdata modelingdata analyticsawspython']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :ms/m.sc(science) in any specialization, mba/pgdm in any specialization, m.tech in any specialization']"
"central data scientist (clinical)
pra health sciences3.7(15 reviews)",pra health sciences3.7(15 reviews),['bengaluru'],6 - 8 years,"['key skills', 'clinical researchsas programmingclinical data managementroot causedata reviewmanagement systemsreporting toolspythonsql']","₹ 10,00,000 - 14,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"data scientist
indegene3.7(226 reviews)",indegene3.7(226 reviews),['bengaluru'],7 - 12 years,"['key skills', 'logistic regressionmarketing mix modelingnatural language processingadvanced analyticsdata scientistdecision treesmachine learningpythonrandom forest']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required, any doctorate in any specialization']"
"data scientist - machine learning/python
carbynetech india
hiring for leading client",carbynetech india,['hyderabad'],3 - 8 years,"['key skills', 'predictive modelingrdata scientistdata managementmachine learningpythonsql']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, b.sc in any specialization, bca in computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"senior data scientist (remote / work from home)
wallethub",wallethub,"['delhi ncr', ' bengaluru', ' hyderabad']",10 - 20 years,"['key skills', 'data sciencemachine learningpython', 'predictive modelingartificial intelligence', 'skills highlighted with ‘‘ are preferred keyskills']","₹ 25,00,000 - 40,00,000 p.a.","['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"data scientist - machine learning
rpa infotech pvt.ltd",rpa infotech pvt.ltd,['gurgaon'],2 - 7 years,"['key skills', 'computer scienceoperations researchdata sciencebfsinetwork analysismachine learningsocial networkingnatural language processingsqlpython']",not disclosed,"['education', 'ug :any graduate in any specialization, b.tech/b.e. in production/industrial', 'pg :m.tech in electronics/telecommunication']"
"product manager - data scientist / data analyst
fortune hr consultant
hiring for leading client",fortune hr consultant,['bengaluru'],3 - 8 years,"['key skills', 'javaproduct managersasscalahadooptableaudata frameworkdata miningsme businesssqldata visualization toolsintelligence toolsdata sciencealgorithmsretail asset productpython codingdata analytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
